accepted.name,family,source,organ.rough,application,symptoms.eng,ebds.level2
Ficus glumosa Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,hemorrhoids,circulatory system disorders
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,tetanus,infections/infestations
Ficus sycomorus L.,Moraceae,Zerbo2007,bark,NA,dysentery,NA
Ficus sycomorus L.,Moraceae,Legani 2009,roots,NA,renal diseases,NA
Ficus umbellata Vahl,Moraceae,Arbonnier2002,bark,NA,difficult childbirth,NA
Ficus sycomorus L.,Moraceae,Olivier2012,twigs,NA,traditional medicine,NA
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,masmite,NA
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,fruits,NA,gonorrhea,infections/infestations
Ficus asperifolia Miq.,Moraceae,Arbonnier2002,leaves,NA,ringworm,infections/infestations
Ficus thonningii Blume,Moraceae,Krohmer2004,roots,NA,fractures,muscular-skeletal system disorders
Ficus thonningii Blume,Moraceae,Nadembega2011,twigs,maceration,tonic,nutritional disorders
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,menorrhagia,genitourinary system disorders
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,dysmenorrhea,genitourinary system disorders
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,twigs,NA,convulsions infantiles,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,roots,NA,rickets,nutritional disorders
Ficus ovata Vahl,Moraceae,Arbonnier2002,leaves,NA,prevention of infant mortality,NA
Ficus vallis-choudae Delile,Moraceae,NA,leaves,NA,gastroenteritis,mental disorders
Ficus sur Forssk.,Moraceae,Zerbo2011,roots,NA,pregnancy-birth disorders,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,edema,NA
Ficus thonningii Blume,Moraceae,Nadembega2011,leaves,NA,pneumonia,NA
Ficus ingens (Miq.) Miq.,Moraceae,Zerbo2011,bark,NA,pregnancy-birth disorders,NA
Ficus ingens (Miq.) Miq.,Moraceae,Zerbo2007,bark,NA,dysentery,NA
Ficus dicranostyla Mildbr.,Moraceae,NA,leaves,NA,cataract,sensory system disorders
Ficus ingens (Miq.) Miq.,Moraceae,Zerbo2011,bark,NA,digestive disorders,NA
Ficus glumosa Delile,Moraceae,Nacoulma-Ouédraogo1996,leaves,NA,dental thrust,NA
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,leucorrhea,genitourinary system disorders
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,dysentery,NA
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,epilepsy,nervous system disorders
Ficus sycomorus L.,Moraceae,Nacoulma-Ouédraogo1996,resin/latex/juice,NA,diarrhea dysenteriform,digestive system disorders
Ficus sur Forssk.,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,febrile pain,pain
Ficus sycomorus L.,Moraceae,Nadembega2011,bark,NA,asthenia,NA
Ficus platyphylla Delile,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,bacillary dysentery,NA
Ficus thonningii Blume,Moraceae,Nacoulma-Ouédraogo1996,bark,NA,jaundice,NA
